symbol,cluster
AAPL,0
MSFT,4
GOOGL,0
AMZN,0
META,2
TSLA,1
NVDA,1
NFLX,1
JPM,0
BAC,2
WFC,2
GS,0
MS,2
C,2
JNJ,4
PFE,0
UNH,3
ABBV,3
MRK,0
CVS,2
WMT,4
PG,4
KO,4
PEP,4
MCD,4
HD,3
XOM,0
CVX,2
COP,2
SLB,2
BA,2
CAT,0
GE,2
MMM,2
