cluster_id,n_stocks,mean_return,mean_volatility,mean_sharpe,mean_drawdown,stocks
0,8,0.11587520151648828,0.2192770105545421,0.5423664895258273,-0.3545349062585195,"JNJ, MRK, WMT, PG, KO, PEP, MCD, MMM"
1,5,0.177739400913142,0.33892421430577907,0.5175801122623109,-0.5943155030764633,"META, NFLX, UNH, ABBV, HD"
2,11,0.13103824406979234,0.3433875716220605,0.3910667203100138,-0.6160405969086773,"BAC, WFC, C, PFE, CVS, XOM, CVX, COP, SLB, BA, CAT"
3,2,0.548623200401962,0.5697401068834608,0.9756071099601931,-0.6998365178100014,"TSLA, NVDA"
4,8,0.223131298104783,0.3197205767464897,0.7039835158785442,-0.48600830097657444,"AAPL, MSFT, GOOGL, AMZN, JPM, GS, MS, GE"
