,weight
AAPL,0.0
MSFT,0.0
GOOGL,0.19717185741898607
AMZN,0.0
META,0.0
TSLA,0.0
NVDA,0.0
NFLX,0.0
JPM,0.0
BAC,0.0
WFC,0.0
GS,7.697071759875771e-18
MS,6.540682586973219e-18
C,0.018342257609953064
JNJ,0.4637954280110648
PFE,0.0
UNH,0.0
ABBV,0.0
MRK,0.0
CVS,0.10831329483394062
WMT,0.0
PG,0.0
KO,0.0
PEP,0.0
MCD,0.0
HD,0.0
XOM,0.0
CVX,0.0
COP,0.0
SLB,0.0
BA,0.0
CAT,0.09750513065462937
GE,0.11487203147142612
MMM,0.0
