symbol,cluster
AAPL,2
MSFT,2
GOOGL,2
AMZN,2
META,0
TSLA,0
NVDA,0
NFLX,0
JPM,2
BAC,3
WFC,3
GS,3
MS,3
C,3
JNJ,1
PFE,2
UNH,4
ABBV,4
MRK,2
CVS,4
WMT,1
PG,1
KO,1
PEP,1
MCD,1
HD,4
XOM,2
CVX,4
COP,3
SLB,3
BA,3
CAT,2
GE,3
MMM,1
