cluster_id,n_stocks,mean_return,mean_volatility,mean_sharpe,mean_drawdown,stocks
0,11,0.22064681338418615,0.32473031252940293,0.6860880385541229,-0.5125755418542968,"AAPL, MSFT, GOOGL, AMZN, JPM, GS, MS, XOM, COP, CAT, GE"
1,10,0.13430380425717942,0.23110989548953115,0.5830270445373085,-0.3633879908281791,"JNJ, ABBV, MRK, WMT, PG, KO, PEP, MCD, HD, CVX"
2,3,0.1967926737989747,0.3881457534548239,0.4880268817163673,-0.7135809346146952,"META, NFLX, UNH"
3,8,0.08520483438860377,0.34203692558707505,0.2523893766673925,-0.6324270083419223,"BAC, WFC, C, PFE, CVS, SLB, BA, MMM"
4,2,0.548623200401962,0.5697401068834608,0.9756071099601931,-0.6998365178100014,"TSLA, NVDA"
