Strategy,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown
mean_variance,4.118422286205386,0.3491489465262474,0.30706789354560976,1.064107419905664,-0.4861395989030303
max_sharpe,3.8908470181665633,0.33794189985848155,0.24532040759362136,1.2283449749541848,-0.3953928438574417
min_variance,1.1764143724682623,0.15330419446969468,0.12981588953668688,1.0099503036935038,-0.1743136777102442
cluster_based,3.6724848473123304,0.32678080092377493,0.25876134913810306,1.145251299520741,-0.42637593631730025
risk_parity,1.5487243819475567,0.18719510995363642,0.14896225092723464,1.0926315483811397,-0.21869337507559847
