cluster_id,n_stocks,mean_return,mean_volatility,mean_sharpe,mean_drawdown,stocks
0,7,0.2697641817436701,0.36845142781989143,0.7157137003247593,-0.6181697099703609,"BAJFINANCE.NS, ADANIENT.NS, BAJAJFINSV.NS, M&M.NS, JSWSTEEL.NS, ADANIPORTS.NS, LTIM.NS"
1,19,0.16892895640823338,0.2665208637625597,0.6270078634204233,-0.39387307179448444,"RELIANCE.NS, HDFCBANK.NS, HINDUNILVR.NS, BHARTIARTL.NS, KOTAKBANK.NS, ASIANPAINT.NS, ULTRACEMCO.NS, NESTLEIND.NS, WIPRO.NS, HCLTECH.NS, POWERGRID.NS, TECHM.NS, DRREDDY.NS, CIPLA.NS, DIVISLAB.NS, TATACONSUM.NS, APOLLOHOSP.NS, BRITANNIA.NS, BAJAJ-AUTO.NS"
2,18,0.15694292226109424,0.287552306659679,0.5477114325382026,-0.5220748636182555,"TCS.NS, INFY.NS, ICICIBANK.NS, ITC.NS, SBIN.NS, LT.NS, AXISBANK.NS, MARUTI.NS, TITAN.NS, SUNPHARMA.NS, NTPC.NS, COALINDIA.NS, EICHERMOT.NS, GRASIM.NS, HEROMOTOCO.NS, SBILIFE.NS, BPCL.NS, HDFCLIFE.NS"
3,1,0.010637329898238476,0.44751288749501544,0.023769885059135774,-0.8502792034567194,INDUSINDBK.NS
4,4,0.21598114338984883,0.38354632459696697,0.5619265728127997,-0.6852157013066785,"ONGC.NS, TATASTEEL.NS, HINDALCO.NS, SHRIRAMFIN.NS"
