Strategy,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown
mean_variance,1.9742844629703713,0.22769548215286695,0.20515548716403048,1.00539233975817,-0.30992715184287073
max_sharpe,1.7231052931004345,0.2074779020930808,0.17943318927962978,1.0294190445379232,-0.27378624216639247
min_variance,1.2960495231039246,0.16932901294985925,0.12122886703086592,1.186369153008234,-0.18837386457297592
cluster_based,1.9742844629703713,0.22769548215286695,0.20515548716403048,1.00539233975817,-0.30992715184287073
risk_parity,2.229298937976501,0.2468501120443134,0.13378978241772516,1.5671978272164473,-0.163776450756902
