,returns_mean,returns_std,returns_skewness,returns_kurtosis,sharpe_ratio,max_drawdown,var_95,var_99,price_volatility,price_momentum_1m,price_momentum_3m,price_momentum_6m,price_to_sma20,price_to_sma50,market_correlation,beta
AAPL,0.0010612412094757274,0.019293767028402825,0.15560057866785895,6.429890871537838,0.8078671380406912,-0.3851591639952903,-0.029778582216252264,-0.04986890570788436,0.019293767028402825,-0.06643193383121648,-0.09362318590266039,0.006517677887321938,0.9691851749124705,0.9486469795755419,0.7706758748182446,1.2225854727594698
ABBV,0.000686139275595979,0.01684955569474421,-0.9234170981465541,12.960407113303,0.5716614684500511,-0.45089759403493984,-0.02336984795188246,-0.04737071285375444,0.01684955569474421,-0.08169599519250836,-0.06099605588321211,-0.027358889541245435,0.9750428827303314,0.9614482215604253,0.43068888326150034,0.59668147191403
AMZN,0.0008220005268352947,0.021620261738948418,0.09252031293755383,4.1848742815864775,0.545274261480683,-0.5614526325328258,-0.03289426846156719,-0.056042201693987104,0.021620261738948418,-0.0430952526274182,-0.13435858759116148,-0.1318904412596924,0.9561694085382051,0.9283710435495571,0.6714652222161956,1.1936442434266148
BA,0.00020343926353626196,0.028194579046166523,0.2615214803395245,13.061865078075106,0.06985798970135196,-0.7792005465221093,-0.03939981915552143,-0.06927933770704187,0.028194579046166523,-0.16841731758896517,-0.12746137243110878,-0.12260601869207033,0.9072166256322854,0.8341548368677763,0.5977972063014702,1.3858299176350386
BAC,0.0005164700887299476,0.02012199685808381,0.27422143352536416,11.00813275227483,0.3448378885325389,-0.48946796574580564,-0.02963310274327486,-0.051374495628448834,0.02012199685808381,-0.046819259006285585,-0.15138472138125725,-0.08624253059902665,0.9850908142878407,0.9309496461900479,0.7054457987958683,1.1671459438751728
C,0.0005546163069140731,0.02212498802707729,-0.04251653137671952,11.762129616311151,0.34098908171176306,-0.5650756660209879,-0.03095440217861294,-0.05557858555404945,0.02212498802707729,-0.026499734400972974,-0.09690846707585132,0.05640877489700835,0.9825419248075842,0.9517457058110096,0.7097961406525571,1.2912404271576197
CAT,0.0009879859879460655,0.020143702838921612,-0.08391990201917536,4.161745158951743,0.7160505631051715,-0.43358877181247707,-0.03103510745056942,-0.054432210368128495,0.020143702838921612,-0.10150373932040901,0.14864116376989944,0.43806237738525855,0.9512143161204771,0.9446398460298903,0.6465755433473444,1.0709002410899193
COP,0.0008611073877201395,0.024789856390361794,-0.01793953709312016,14.283853585633848,0.5005988831905954,-0.7066104002700672,-0.03458622005083496,-0.06561203506551035,0.024789856390361794,0.1712497837295932,0.44423769890528964,0.47048313434123545,1.078385621714906,1.1798851881736756,0.5219112193361978,1.0638026810608778
CVS,0.0002867809395962371,0.019016972035462293,-0.5090473004724252,10.50086890148458,0.17314137596211754,-0.5678883012003845,-0.027144633082261782,-0.05410885400993333,0.019016972035462293,-0.1221527152670866,-0.09383536516008362,-0.04838212156343158,0.9384219080341754,0.9176808534780208,0.4204839099683624,0.6574779413247116
CVX,0.0006077788340727489,0.019607212480006766,-0.31727037214023973,23.32523433040094,0.4278174837125743,-0.5577392122016835,-0.026597426880316594,-0.046487994833046525,0.019607212480006766,0.12823952083675283,0.4136686081234888,0.3772970008854777,1.0643693530780807,1.136511049851538,0.574368846890828,0.9259705369965693
GE,0.0008836167569071945,0.024344834246502713,0.04518269904605773,4.8059972309300205,0.5244274597405303,-0.6897579793675649,-0.035310705441168204,-0.06741083588121545,0.024344834246502713,-0.2004673331986767,-0.13174342401915196,-0.08914211249387727,0.894787702856951,0.8730247353881775,0.5675996992462952,1.1361597911090884
GOOGL,0.0009792984115675229,0.019405240988377724,-0.0012455916104237357,3.854880371461509,0.7361928032652767,-0.4432005006509691,-0.029612898768380247,-0.050886943856076026,0.019405240988377724,-0.12210510271472019,-0.12933823940155686,0.07518666151830722,0.9150704926475955,0.8758682583995956,0.7273201963472476,1.160473224896393
GS,0.0008352334106081901,0.01959154851999485,0.23822117461048256,9.667272773938793,0.6124598960631389,-0.4874878664848981,-0.02746803919755517,-0.04704171717443329,0.01959154851999485,-0.055515959315225905,-0.09965491933533632,0.013509250996717848,0.9837790580536327,0.917663144412925,0.7405201168122383,1.1928780901269085
HD,0.0004976662552364116,0.016548887717843075,-0.7990146590069755,15.81952820834159,0.401255082523099,-0.379937020729209,-0.024088990662026605,-0.04354472494943298,0.016548887717843075,-0.14461337795573015,-0.055967790269843776,-0.21150593324147515,0.9500423295428231,0.889950348443821,0.701084721093127,0.9539590857430066
JNJ,0.0004541420078375347,0.012279058660297148,-0.2567089637561707,8.890368272774564,0.4845159115016868,-0.2736625621181287,-0.017074510420004956,-0.03605979591901866,0.012279058660297148,-0.02391010488966705,0.18465891555850322,0.3923996676148034,1.0084253975037676,1.0242375901196248,0.4492344361589388,0.4535535293013022
JPM,0.0007407246021671021,0.01822995632695398,0.31872510576893737,13.343422159023964,0.5759068622511202,-0.4362649530435883,-0.026584131002744628,-0.04677031726214406,0.01822995632695398,-0.05504495321755687,-0.12542565613709034,-0.09004432261130368,0.9808000899352202,0.9467994170462952,0.7110819663031733,1.0658491169402933
KO,0.0004468085073617173,0.012127069521891546,-0.6063548205762471,8.755183443575252,0.48098871517603214,-0.3698753473717689,-0.01650462005292208,-0.03296691032584454,0.012127069521891546,-0.05843022302996603,0.09910437744716849,0.16413996145020993,0.9977176429990686,0.998429273237132,0.5247339193034348,0.5232213324217266
MCD,0.0004637429644623694,0.013532582404299637,0.3591035688949491,30.11134106048295,0.45089766153603034,-0.36898587907577246,-0.01754540050301459,-0.03558539682489711,0.013532582404299637,-0.09032569506117183,-0.001886756687861646,0.032195491991991565,0.965329729556724,0.9635670288287306,0.5563348508609582,0.619023852474002
META,0.0008716381557723041,0.026085330728938684,-0.2957725587577772,17.77068505679049,0.48214628039202395,-0.7673609244469798,-0.037296902658802984,-0.0643229817090118,0.026085330728938684,-0.17177440575057468,-0.1926500706427169,-0.30928379235937664,0.8722252121118956,0.8362201477956844,0.6203601336116774,1.3305483632375337
MMM,0.00014064615646943734,0.017925328723908188,0.7624190884703663,18.81417982014903,0.05426996377792143,-0.5909733826003225,-0.02506801914248997,-0.04730237496819046,0.017925328723908188,-0.13791436028092707,-0.10609104190423602,-0.08189884599797181,0.9533333768142449,0.9030420206676915,0.5935179331485689,0.8747650261525679
MRK,0.0006141098984258099,0.014806708709758355,-0.21228334029311963,6.1649421167151495,0.5733084241128485,-0.4344340674840887,-0.021335522047374572,-0.04065914419026753,0.014806708709758355,-0.03913150406095289,0.13266122653381118,0.4721091404820901,1.0144255171940801,1.0187401276005261,0.40920960867957773,0.49818975508655045
MS,0.000867798199068801,0.020680355459415004,0.46051107971801275,12.725877695716143,0.6052114425895485,-0.5132583581315666,-0.029888647112582472,-0.05232590591832605,0.020680355459415004,-0.048885950742820206,-0.11285215815279281,0.0018916263005173128,0.984891099471725,0.9278922718135945,0.758369105251136,1.2895229277289781
MSFT,0.0008936201430382466,0.017958073178877768,0.0020549110270151934,7.137319586858579,0.7197820325584253,-0.3714848914526625,-0.027835688430911183,-0.045372498731486126,0.017958073178877768,-0.08601110052260785,-0.2610058748092893,-0.30405141631536126,0.9184379514670501,0.8796181348449849,0.7979412497680892,1.1782056211717375
NFLX,0.0011153231462456023,0.027076988813290744,-0.8699574229310181,18.738825096679513,0.6073542591955536,-0.7594731825161348,-0.037679030349753145,-0.06718936124540653,0.027076988813290744,-0.03397752198306536,-0.005668436142212574,-0.24227974372317718,0.9794357706539935,1.061643150220139,0.49399407740461715,1.0997970348903416
NVDA,0.00221121781078537,0.03206836262076008,0.14133335331847446,4.882656804172,1.0553115341474535,-0.6633510055077024,-0.0471668912652204,-0.07793967148342726,0.03206836262076008,-0.06778639399446906,-0.12700739616671652,-0.06499039083877967,0.9249876478392564,0.9023445511092648,0.6955401658594502,1.8339582182764829
PEP,0.0003464187370277819,0.013157785188376046,-0.02973039678737546,16.466275412233813,0.3221929320642271,-0.30322676784228675,-0.01905292539508151,-0.03217102348275474,0.013157785188376046,-0.06786229872595329,0.10120443612399743,0.12703591706259232,1.0019630805919373,0.9939955367674221,0.5173487133548701,0.5597016691445976
PFE,0.00020185844515208825,0.016016929153795136,0.2500169656970311,3.959299692646442,0.12140416431232164,-0.5896198805849621,-0.023611145735963124,-0.04101130776342405,0.016016929153795136,0.004339994245532441,0.1348544617787033,0.19568693034479723,1.0271490011492628,1.0357917658076223,0.4299506281230483,0.5662240074791465
PG,0.00041116197431250877,0.012604577078733433,0.15015961025701563,10.676139198973337,0.4178729985135838,-0.23772451918949286,-0.017946862225003305,-0.0368404548595967,0.012604577078733433,-0.13444973766654966,0.017932143581218973,-0.059428808758117624,0.967479921813249,0.9425608513233674,0.4678036760325559,0.4848220297038819
SLB,0.0003478388800169498,0.027408136000021042,-0.2345453524067089,9.527035700280777,0.155497238497496,-0.832619108076479,-0.04085238230916446,-0.07212406501363841,0.027408136000021042,0.003700791315627061,0.3569076246120746,0.5173793510158808,1.069786242718459,1.047278397022953,0.5090277033054067,1.147126615787936
TSLA,0.0021429346778256727,0.03971214242151477,0.29921921568918675,3.7793168729140643,0.8248900670202458,-0.7363221744219122,-0.05673546252743684,-0.1031506435120064,0.03971214242151477,-0.11733872410733182,-0.2683087557343017,-0.16614642506637212,0.9147836135025118,0.8729851784422734,0.5057876005622775,1.6515127563090675
UNH,0.0003558086111071903,0.020190331751303893,-1.4553878729482081,21.216390289808544,0.217351803492218,-0.6139086765364931,-0.026404945038043286,-0.05625299232231937,0.020190331751303893,-0.10040146870661382,-0.18773012861920824,-0.2111465295573085,0.9393172212301754,0.9083800652870399,0.4615683423684945,0.7662489739374447
WFC,0.00045326512245559607,0.02156148266042886,0.017507583813602755,7.496989342532192,0.27528158748453113,-0.6445711708097541,-0.031195595222623607,-0.06027595059024008,0.02156148266042886,-0.05709016661399313,-0.1830479153553065,-0.08337390753561957,0.9810496818273946,0.9114412566782727,0.6451602897001073,1.143764694170899
WMT,0.0008015476481912506,0.014072123350562495,0.1342867050080817,12.685294855389648,0.8146810956813255,-0.25739679871612003,-0.019058134680814777,-0.03463334797168071,0.014072123350562495,-0.03279826131369179,0.11590133649852752,0.21182170938708245,0.9992440972760418,0.9965664901722657,0.4322853887192639,0.500173440517236
XOM,0.000698782030319637,0.018959378957292945,-0.014505140784529469,5.360681066642,0.518631927904978,-0.6100656959144851,-0.0281760232235062,-0.04925628213332846,0.018959378957292945,0.12439345062756146,0.44542721714571853,0.5433672010136339,1.0878212536934393,1.147643996587017,0.5113243328262737,0.7970966877223078
