cluster_id,n_stocks,stocks,mean_return,mean_volatility,mean_sharpe,mean_market_corr
0,9,"['AAPL', 'BAC', 'C', 'GOOGL', 'GS', 'HD', 'JPM', 'MS', 'WFC']",0.0007767999599211034,0.019750715376839006,0.5660260331583034,0.720299311893478
1,6,"['JNJ', 'KO', 'MCD', 'PEP', 'PG', 'WMT']",0.0005182396353255326,0.012972665657747141,0.5322468667034533,0.4945955879448098
2,4,"['AMZN', 'MSFT', 'NFLX', 'UNH']",0.000806896769277327,0.021729646673956375,0.5355817662467295,0.6078985979760761
3,2,"['NVDA', 'TSLA']",0.002270144156138751,0.036056154515511814,0.9766834909351663,0.5995830747435786
4,6,"['ABBV', 'CAT', 'CVS', 'MRK', 'PFE', 'XOM']",0.00060330265402021,0.01765648636170687,0.46611842315346586,0.47776992475141844
5,7,"['BA', 'COP', 'CVX', 'GE', 'META', 'MMM', 'SLB']",0.0005926382036864186,0.02410070124081934,0.3369613420676161,0.5713064843080351
