symbol,cluster
AAPL,0
ABBV,4
AMZN,0
BA,5
BAC,0
C,0
CAT,0
COP,2
CVS,4
CVX,2
GE,5
GOOGL,0
GS,0
HD,4
JNJ,1
JPM,0
KO,1
MCD,1
META,5
MMM,5
MRK,1
MS,0
MSFT,0
NFLX,4
NVDA,3
PEP,1
PFE,1
PG,1
SLB,2
TSLA,3
UNH,4
WFC,0
WMT,1
XOM,2
