symbol,cluster
AAPL,4
ABBV,1
AMZN,4
BA,5
BAC,4
C,4
CAT,4
COP,3
CVS,1
CVX,3
GE,5
GOOGL,4
GS,4
HD,1
JNJ,0
JPM,4
KO,0
MCD,0
META,5
MMM,0
MRK,0
MS,4
MSFT,4
NFLX,1
NVDA,2
PEP,0
PFE,0
PG,0
SLB,3
TSLA,2
UNH,1
WFC,4
WMT,0
XOM,3
