cluster_id,n_stocks,stocks,mean_return,mean_volatility,mean_sharpe,mean_market_corr
0,9,"['JNJ', 'KO', 'MCD', 'MMM', 'MRK', 'PEP', 'PFE', 'PG', 'WMT']",0.0004311595932489442,0.014058018087957999,0.41334798518621974,0.4867132393756908
1,5,"['ABBV', 'CVS', 'HD', 'NFLX', 'UNH']",0.0005883436455562841,0.019936547202528843,0.39415279792460783,0.5015639868192203
2,2,"['NVDA', 'TSLA']",0.002177076244305521,0.03589025252113742,0.9401008005838496,0.6006638832108638
3,4,"['COP', 'CVX', 'SLB', 'XOM']",0.0006288767830323688,0.022691145956920636,0.40063638332641094,0.5291580255896765
4,11,"['AAPL', 'AMZN', 'BAC', 'C', 'CAT', 'GOOGL', 'GS', 'JPM', 'MS', 'MSFT', 'WFC']",0.0007920230917096879,0.02006648851140747,0.5708957779166263,0.7167592276374729
5,3,"['BA', 'GE', 'META']",0.0006528980587385869,0.02620824800720264,0.35881057661130206,0.5952523463864808
